age,d13c
0,3.7976
100000,3.712205761
210000,3.332261895
310000,2.555879367
410000,2.153971493
510000,2.382844208
610000,3.075064451
700000,3.688536663
820000,3.881725018
930000,3.905983061
1000000,3.904218678
1073900,3.931135203
